Species,BSL,DCL,CH,CW,RH,RW,TRL,IOD,ML,MH,MW,MHD,MWD
Heloderma.horridum,4.11,3.97,3.77,3.06,2.69,3.57,3.11,3.17,4.11,2.58,3.73,2.38,3.2
Lanthanotus.bornensis,4.3,4.02,3.83,3.03,2.47,3.49,3.27,2.77,4.22,2.55,3.78,2.37,3.41
Varanus.acanthurus,4.53,4.37,3.83,3.4,2.9,3.54,3.54,2.18,4.5,2.72,3.8,2.28,3.41
Varanus.exanthematicus,4.2,4.02,3.8,3.19,2.9,3.46,3.37,2.27,4.22,2.73,3.78,2.11,3.38
Varanus.gouldii,4.55,4.4,3.81,3.32,2.93,3.51,3.72,2.14,4.51,2.72,3.91,2.24,3.51
Varanus.komodoensis,4.39,4.26,3.65,3.17,2.79,3.55,3.62,2.37,4.48,2.57,3.71,2.33,3.23
Varanus.panoptes.horni,4.45,4.3,3.68,3.37,2.94,3.45,3.61,2.13,4.45,2.66,3.68,2.1,3.3
Varanus.panoptes.panoptes,4.5,4.35,3.59,3.31,2.91,3.44,3.73,2.25,4.51,2.76,3.75,2.35,3.32
Varanus.prasinus,4.52,4.35,3.53,3.18,2.81,3.41,4.73,2.37,4.45,2.46,3.74,2.08,3.4
Varanus.salvadorii,4.55,4.39,3.54,3.15,2.75,3.3,3.78,2.1,4.52,2.46,3.59,2.22,3.01
Varanus.salvator,4.38,4.23,3.71,3.15,2.72,3.33,3.6,2.31,4.41,2.64,3.69,2.41,3.24
Varanus.storri,4.5,4.34,3.71,3.11,2.79,3.47,3.49,2.12,4.45,2.54,3.76,2.11,3.28
Varanus.tristis,4.63,4.46,3.73,3.12,2.79,3.5,3.73,2.11,4.59,2.26,3.84,1.89,3.2
